hero,minor_patch,wins_total,games_total,wins_battlefield_of_eternity,games_battlefield_of_eternity,wins_blackhearts_bay,games_blackhearts_bay,wins_braxis_holdout,games_braxis_holdout,wins_cursed_hollow,games_cursed_hollow,wins_dragon_shire,games_dragon_shire,wins_garden_of_terror,games_garden_of_terror,wins_hanamura_temple,games_hanamura_temple,wins_haunted_mines,games_haunted_mines,wins_infernal_shrines,games_infernal_shrines,wins_sky_temple,games_sky_temple,wins_tomb_of_the_spider_queen,games_tomb_of_the_spider_queen,wins_towers_of_doom,games_towers_of_doom,wins_warhead_junction,games_warhead_junction,wins_volskaya_foundry,games_volskaya_foundry,wins_alterac_pass,games_alterac_pass
abathur,2.53.0.83004,570,1201,9,26,,,11,29,106,232,34,77,87,164,22,48,,,48,98,69,153,18,37,65,129,,,40,69,61,139
abathur,2.53.0.83077,6,17,,,,,0,1,1,2,0,2,1,2,1,1,,,1,1,0,1,1,1,1,4,,,0,1,0,1
abathur,2.53.0.83086,4153,8853,124,269,,,89,201,820,1709,246,597,524,1094,178,386,,,298,631,610,1286,109,266,424,881,,,245,501,486,1032
abathur,2.53.1.83632,190,414,5,14,,,2,10,37,86,10,31,23,47,12,22,,,22,36,33,62,4,9,16,28,,,9,18,17,51
abathur,2.53.1.83716,4330,8984,138,284,,,78,172,837,1711,321,670,557,1130,169,371,,,289,646,642,1353,111,237,456,882,,,256,518,476,1010
abathur,2.53.2.84200,234,462,8,18,,,5,13,38,82,18,34,37,60,16,26,,,17,33,28,59,5,10,21,48,,,10,24,31,55
abathur,2.53.3.84249,9275,19587,282,666,,,180,453,1791,3779,704,1525,1117,2328,373,836,,,714,1486,1332,2726,270,629,869,1785,,,594,1181,1049,2193
abathur,2.54.0.85027,3639,7784,84,194,,,61,146,667,1365,212,483,342,748,135,289,,,240,475,440,966,68,188,302,617,717,1550,,,371,763
abathur,2.54.1.85267,771,1622,23,59,,,22,43,124,259,47,111,91,182,29,70,,,42,84,97,197,17,38,67,135,140,290,,,72,154
abathur,2.54.1.85311,3484,7338,81,197,,,62,146,610,1231,234,501,378,802,129,261,,,225,451,432,911,91,216,265,580,629,1320,,,348,722
abathur,2.54.2.85551,178,401,3,8,,,4,10,20,51,14,26,20,52,5,16,,,15,27,28,49,8,13,8,32,31,71,,,22,46
abathur,2.54.2.85576,3100,6654,79,187,,,57,159,544,1123,182,387,325,679,132,268,,,221,446,342,791,82,199,269,551,551,1222,,,316,642
abathur,2.54.2.85894,4383,8973,154,295,,,92,203,714,1499,278,593,431,884,163,358,,,325,622,505,1055,133,295,349,668,776,1609,,,463,892
abathur,2.54.3.86223,7309,15148,254,506,,,150,333,1143,2296,505,1061,802,1616,322,684,,,479,954,802,1724,195,434,600,1290,1300,2688,,,757,1562
